U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699556558901404800,67357.8436858,19:02:38:901405,H,,,
1699556568914413800,67367.8569469,19:02:48:914414,H,,,
1699556578925693300,67377.867781,19:02:58:925693,H,,,
1699556588936516600,67387.878509,19:03:08:936517,H,,,
1699556598947716100,67397.8897498,19:03:18:947716,H,,,
1699556608958352800,67407.9010161,19:03:28:958353,H,,,
1699556618970179400,67417.9124373,19:03:38:970179,H,,,
1699556628980919000,67427.9237667,19:03:48:980919,H,,,
1699556638992748700,67437.9349951,19:03:58:992749,H,,,
1699556649003700800,67447.9457011,19:04:09:003701,H,,,
1699556659015666000,67457.957718,19:04:19:015666,H,,,
1699556669027623300,67467.9697369,19:04:29:027623,H,,,
1699556679043376000,67477.9857723,19:04:39:043376,H,,,
1699556689055651100,67487.9984935,19:04:49:055651,H,,,
1699556699066507800,67498.0091193,19:04:59:066508,H,,,
1699556709079588200,67508.0217628,19:05:09:079588,H,,,
1699556719092533000,67518.0345331,19:05:19:092533,H,,,
1699556729103618000,67528.0463128,19:05:29:103618,H,,,
1699556739114148000,67538.0570551,19:05:39:114148,H,,,
1699556749126505200,67548.0691116,19:05:49:126505,H,,,
1699556759137706900,67558.0798941,19:05:59:137707,H,,,
1699556769148718400,67568.0906879,19:06:09:148718,H,,,
1699556779158691200,67578.1015439,19:06:19:158691,H,,,
1699556789170669700,67588.1127212,19:06:29:170670,H,,,
1699556799182814400,67598.1253722,19:06:39:182814,H,,,
1699556809194543000,67608.1372686,19:06:49:194543,H,,,
1699556819206312800,67618.1483158,19:06:59:206313,H,,,
1699556829217565200,67628.1596048,19:07:09:217565,H,,,
1699556839228310200,67638.1706629,19:07:19:228310,H,,,
1699556849241529600,67648.1838365,19:07:29:241530,H,,,
1699556859254483200,67658.1967359,19:07:39:254483,H,,,
1699556869265164100,67668.2074481,19:07:49:265164,H,,,
1699556879275607100,67678.2182211,19:07:59:275607,H,,,
1699556889286805700,67688.2287916,19:08:09:286806,H,,,
1699556899297563100,67698.2395774,19:08:19:297563,H,,,
1699556909308421000,67708.2504066,19:08:29:308421,H,,,
1699556919318783900,67718.2617405,19:08:39:318784,H,,,
1699556929333802800,67728.2767527,19:08:49:333803,H,,,
1699556939345255000,67738.2872762,19:08:59:345255,H,,,
1699556949355345800,67748.2980601,19:09:09:355346,H,,,
1699556959367670600,67758.3101054,19:09:19:367671,H,,,
1699556969380968600,67768.3230963,19:09:29:380969,H,,,
1699556979391127300,67778.3338485,19:09:39:391127,H,,,
1699556989402577600,67788.3446827,19:09:49:402578,H,,,
1699556999413345500,67798.3556488,19:09:59:413346,H,,,
1699557009423336800,67808.36625,19:10:09:423337,H,,,
1699557019434184200,67818.3766782,19:10:19:434184,H,,,
1699557029444902900,67828.3873221,19:10:29:444903,H,,,
1699557038997367700,67837.939953,19:10:38:997368,VECTOR_0 STARTED,0,Fake P300,
1699557039456574200,67838.3986281,19:10:39:456574,H,0,Fake P300,
1699557042437250800,67841.3798026,19:10:42:437251,VECTOR 0 STOPPED,,,
