U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699442108186960200,87846.6417772,11:15:08:186960,H,,,
1699442118199499300,87856.6544561,11:15:18:199499,H,,,
1699442128211717100,87866.6663057,11:15:28:211717,H,,,
1699442138221803200,87876.6764068,11:15:38:221803,H,,,
1699442148253820600,87886.7085791,11:15:48:253821,H,,,
1699442158265827400,87896.7204799,11:15:58:265827,H,,,
1699442168278661500,87906.733302,11:16:08:278661,H,,,
1699442178289925700,87916.7447552,11:16:18:289926,H,,,
1699442188301412200,87926.7562953,11:16:28:301412,H,,,
1699442198313044000,87936.7676819,11:16:38:313044,H,,,
1699442208324084300,87946.778963,11:16:48:324084,H,,,
1699442218334836900,87956.7895199,11:16:58:334837,H,,,
1699442228346697300,87966.8012928,11:17:08:346697,H,,,
1699442238357686300,87976.812843,11:17:18:357686,H,,,
1699442248368855600,87986.8237725,11:17:28:368855,H,,,
1699442258380520400,87996.8355607,11:17:38:380520,H,,,
1699442268392782500,88006.8477716,11:17:48:392783,H,,,
1699442278403625900,88016.8583504,11:17:58:403626,H,,,
1699442288415029400,88026.869947,11:18:08:415030,H,,,
1699442298425888300,88036.8809917,11:18:18:425888,H,,,
1699442308436521800,88046.8918802,11:18:28:436522,H,,,
1699442318447581100,88056.9022769,11:18:38:447581,H,,,
1699442328459235700,88066.9138642,11:18:48:459236,H,,,
1699442338469499000,88076.924494,11:18:58:469499,H,,,
1699442348480744900,88086.9361551,11:19:08:480745,H,,,
1699442358492454200,88096.9471688,11:19:18:492454,H,,,
1699442368505186300,88106.959921,11:19:28:505186,H,,,
1699442378516624300,88116.9717346,11:19:38:516624,H,,,
1699442388527200700,88126.9826564,11:19:48:527201,H,,,
1699442398540260700,88136.9948884,11:19:58:540261,H,,,
1699442408551118100,88147.0057725,11:20:08:551118,H,,,
1699442418565526400,88157.0201192,11:20:18:565526,H,,,
1699442428577364600,88167.0320171,11:20:28:577364,H,,,
1699442438588628700,88177.0439838,11:20:38:588629,H,,,
1699442448600890000,88187.0563226,11:20:48:600890,H,,,
1699442458613257200,88197.068117,11:20:58:613257,H,,,
1699442468625020700,88207.0796897,11:21:08:625021,H,,,
1699442478636827400,88217.0918659,11:21:18:636827,H,,,
1699442488649655500,88227.1043003,11:21:28:649656,H,,,
1699442498660517500,88237.1159522,11:21:38:660517,H,,,
1699442508672223300,88247.1268578,11:21:48:672223,H,,,
1699442518683793800,88257.1385493,11:21:58:683794,H,,,
1699442528694286200,88267.1492068,11:22:08:694286,H,,,
1699442538706475100,88277.161139,11:22:18:706475,H,,,
1699442548716256200,88287.1717681,11:22:28:716256,H,,,
1699442558729099100,88297.1841702,11:22:38:729099,H,,,
1699442568741767100,88307.1966816,11:22:48:741767,H,,,
1699442578752457100,88317.2076741,11:22:58:752457,H,,,
1699442588763999900,88327.2186308,11:23:08:764000,H,,,
1699442598774914100,88337.229506,11:23:18:774914,H,,,
1699442608785659200,88347.2403976,11:23:28:785659,H,,,
1699442618797023100,88357.2516224,11:23:38:797023,H,,,
1699442628808537500,88367.2631327,11:23:48:808537,H,,,
1699442638818927400,88377.2738814,11:23:58:818927,H,,,
1699442648831892800,88387.2867493,11:24:08:831893,H,,,
1699442658843482000,88397.2989279,11:24:18:843482,H,,,
1699442668855326300,88407.3100855,11:24:28:855326,H,,,
1699442678868666900,88417.3232739,11:24:38:868667,H,,,
1699442688880181800,88427.3349017,11:24:48:880182,H,,,
1699442698893867000,88437.3484744,11:24:58:893867,H,,,
1699442708906844000,88447.3614498,11:25:08:906844,H,,,
1699442718918655200,88457.3737817,11:25:18:918655,H,,,
1699442728931816000,88467.3867831,11:25:28:931816,H,,,
1699442738942964100,88477.3976861,11:25:38:942964,H,,,
1699442748956525800,88487.4113334,11:25:48:956526,H,,,
1699442758967701700,88497.4225035,11:25:58:967702,H,,,
1699442768981117800,88507.4357371,11:26:08:981118,H,,,
1699442778994518900,88517.449231,11:26:18:994519,H,,,
1699442789006009600,88527.4608945,11:26:29:006010,H,,,
1699442799017645400,88537.4726021,11:26:39:017645,H,,,
1699442809028717000,88547.4837744,11:26:49:028717,H,,,
1699442819044336900,88557.4989821,11:26:59:044337,H,,,
1699442829056675500,88567.5113161,11:27:09:056676,H,,,
1699442839069166400,88577.5237843,11:27:19:069166,H,,,
1699442849080665100,88587.5354642,11:27:29:080665,H,,,
1699442859091739900,88597.5471373,11:27:39:091740,H,,,
1699442869103752400,88607.5592501,11:27:49:103752,H,,,
1699442879115097800,88617.5703546,11:27:59:115098,H,,,
1699442889125856700,88627.5813742,11:28:09:125857,H,,,
1699442899138326900,88637.5938277,11:28:19:138327,H,,,
1699442909150306600,88647.6051662,11:28:29:150306,H,,,
1699442919161651100,88657.6162585,11:28:39:161651,H,,,
1699442929172594300,88667.62749,11:28:49:172594,H,,,
1699442939183974600,88677.6386557,11:28:59:183975,H,,,
1699442949194712500,88687.650203,11:29:09:194713,H,,,
1699442959205783900,88697.6612932,11:29:19:205784,H,,,
1699442969217907000,88707.6732499,11:29:29:217907,H,,,
1699442979229826700,88717.6850162,11:29:39:229827,H,,,
1699442989240904700,88727.6957675,11:29:49:240905,H,,,
1699442999252891600,88737.7074936,11:29:59:252892,H,,,
1699443009264097100,88747.7194249,11:30:09:264097,H,,,
1699443019275438700,88757.7300706,11:30:19:275439,H,,,
1699443029285846900,88767.7407046,11:30:29:285847,H,,,
1699443039299069100,88777.7541132,11:30:39:299069,H,,,
1699443049311469100,88787.7663259,11:30:49:311469,H,,,
1699443059324453900,88797.7790747,11:30:59:324454,H,,,
1699443069336937900,88807.7922644,11:31:09:336938,H,,,
1699443079350166300,88817.8047978,11:31:19:350166,H,,,
1699443089361172200,88827.8161178,11:31:29:361172,H,,,
1699443099373169300,88837.8279694,11:31:39:373169,H,,,
1699443109386018800,88847.8411826,11:31:49:386019,H,,,
1699443119398252000,88857.8534929,11:31:59:398252,H,,,
1699443129412106800,88867.8667717,11:32:09:412107,H,,,
1699443139423143700,88877.8778637,11:32:19:423144,H,,,
1699443149435162100,88887.8906906,11:32:29:435162,H,,,
1699443159447181100,88897.9026783,11:32:39:447181,H,,,
1699443169459433000,88907.914191,11:32:49:459433,H,,,
1699443179470085700,88917.9250626,11:32:59:470086,H,,,
1699443189481571400,88927.9367423,11:33:09:481571,H,,,
1699443199492247100,88937.9476564,11:33:19:492247,H,,,
1699443209507810300,88947.9624592,11:33:29:507810,H,,,
1699443219519562100,88957.9741859,11:33:39:519562,H,,,
1699443229530813600,88967.9854056,11:33:49:530814,H,,,
1699443239545253200,88978.0004427,11:33:59:545253,H,,,
1699443249561698700,88988.0164629,11:34:09:561699,H,,,
1699443259572808100,88998.0274362,11:34:19:572808,H,,,
1699443269584583600,89008.0392006,11:34:29:584584,H,,,
1699443279594992700,89018.049885,11:34:39:594993,H,,,
1699443289605937200,89028.0605381,11:34:49:605937,H,,,
1699443299617338400,89038.0722446,11:34:59:617338,H,,,
1699443309628197600,89048.0828281,11:35:09:628198,H,,,
1699443319639501200,89058.0946769,11:35:19:639501,H,,,
1699443329653236400,89068.1078436,11:35:29:653236,H,,,
1699443339663247000,89078.117883,11:35:39:663247,H,,,
1699443349674187000,89088.1288538,11:35:49:674187,H,,,
1699443359685946000,89098.1408798,11:35:59:685946,H,,,
1699443369697341200,89108.1520056,11:36:09:697341,H,,,
1699443379708176400,89118.162793,11:36:19:708176,H,,,
1699443389720560700,89128.175151,11:36:29:720561,H,,,
1699443399731786300,89138.1864101,11:36:39:731786,H,,,
1699443409743062200,89148.1979125,11:36:49:743062,H,,,
1699443419756602400,89158.2112217,11:36:59:756602,H,,,
1699443429766816700,89168.2216733,11:37:09:766817,H,,,
1699443439777694400,89178.2323045,11:37:19:777694,H,,,
1699443449789373800,89188.2443993,11:37:29:789374,H,,,
1699443459801348900,89198.2562084,11:37:39:801349,H,,,
1699443469812095900,89208.2673157,11:37:49:812096,H,,,
1699443479823960200,89218.2785699,11:37:59:823960,H,,,
1699443489835127400,89228.2897566,11:38:09:835127,H,,,
1699443499846432600,89238.3010724,11:38:19:846432,H,,,
1699443509856436900,89248.3119431,11:38:29:856437,H,,,
1699443519868504700,89258.3231616,11:38:39:868505,H,,,
1699443529879292600,89268.3339445,11:38:49:879293,H,,,
1699443539889631400,89278.3450931,11:38:59:889632,H,,,
1699443549901691800,89288.3563222,11:39:09:901692,H,,,
1699443559915115400,89298.3697521,11:39:19:915116,H,,,
1699443569926035100,89308.380834,11:39:29:926035,H,,,
1699443579936638400,89318.3913571,11:39:39:936638,H,,,
1699443589948552300,89328.4031926,11:39:49:948552,H,,,
1699443599959950900,89338.4147958,11:39:59:959951,H,,,
1699443609969664400,89348.4252471,11:40:09:969665,H,,,
1699443619981662900,89358.4362417,11:40:19:981663,H,,,
1699443629991740500,89368.4465623,11:40:29:991740,H,,,
1699443640001588400,89378.4563302,11:40:40:001589,H,,,
1699443650012419200,89388.4670807,11:40:50:012419,H,,,
1699443660025196500,89398.4801348,11:41:00:025197,H,,,
1699443670036626100,89408.4915215,11:41:10:036626,H,,,
1699443680049524900,89418.5041784,11:41:20:049525,H,,,
1699443690061477400,89428.5167587,11:41:30:061477,H,,,
1699443700074004500,89438.5288038,11:41:40:074004,H,,,
1699443710086803000,89448.5414613,11:41:50:086803,H,,,
1699443720098895000,89458.553792,11:42:00:098895,H,,,
1699443730109685400,89468.5646821,11:42:10:109685,H,,,
1699443740121437700,89478.5762245,11:42:20:121438,H,,,
1699443750132669900,89488.5877011,11:42:30:132670,H,,,
1699443760145819500,89498.600425,11:42:40:145819,H,,,
1699443770156765800,89508.612173,11:42:50:156766,H,,,
1699443780170271600,89518.625073,11:43:00:170271,H,,,
1699443790181872700,89528.6374389,11:43:10:181873,H,,,
1699443791538017400,89529.9935202,11:43:11:538017,FAKE:1200,,,
1699443792550385100,89531.0049838,11:43:12:550385,FAKE:1200,,,
1699443793560425100,89532.0159005,11:43:13:560425,FAKE:1200,,,
1699443794570367800,89533.0259004,11:43:14:570368,FAKE:1200,,,
1699443795580969400,89534.0359032,11:43:15:580970,FAKE:1200,,,
1699443796590473000,89535.045903,11:43:16:590473,FAKE:1200,,,
1699443797600478000,89536.0559014,11:43:17:600478,FAKE:1200,,,
1699443798611370500,89537.0659816,11:43:18:611371,FAKE:1200,,,
1699443799623529000,89538.0789018,11:43:19:623529,FAKE:1200,,,
1699443800198539400,89538.6532113,11:43:20:198539,H,,,
1699443800634527500,89539.0899019,11:43:20:634527,FAKE:1200,,,
1699443801644520400,89540.0999408,11:43:21:644521,FAKE:1200,,,
1699443802654786800,89541.1099038,11:43:22:654787,FAKE:1200,,,
1699443803664552200,89542.1199667,11:43:23:664552,FAKE:1200,,,
1699443804675386100,89543.1299704,11:43:24:675386,FAKE:1200,,,
1699443805685701300,89544.1409688,11:43:25:685701,FAKE:1200,,,
1699443806696937700,89545.1519006,11:43:26:696938,FAKE:1200,,,
1699443807706485600,89546.1619041,11:43:27:706486,FAKE:1200,,,
1699443808716409900,89547.1719012,11:43:28:716410,FAKE:1200,,,
1699443809726856600,89548.1819033,11:43:29:726857,FAKE:1200,,,
1699443810208739100,89548.663815,11:43:30:208739,H,,,
1699443810736789500,89549.1919023,11:43:30:736789,FAKE:1200,,,
1699443811747195300,89550.2019002,11:43:31:747195,FAKE:1200,,,
1699443812756639400,89551.2119674,11:43:32:756639,FAKE:1200,,,
1699443813766807300,89552.2218995,11:43:33:766807,FAKE:1200,,,
1699443814776407900,89553.2319015,11:43:34:776408,FAKE:1200,,,
1699443815787780700,89554.2429662,11:43:35:787781,FAKE:1200,,,
