U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699646034497590000,156837.293342,19:53:54:497590,H,,,
1699646044508395300,156847.3040965,19:54:04:508395,H,,,
1699646054521753000,156857.3174804,19:54:14:521753,H,,,
1699646064535650200,156867.3313713,19:54:24:535650,H,,,
1699646074547857300,156877.3439606,19:54:34:547858,H,,,
1699646084562103600,156887.358049,19:54:44:562104,H,,,
1699646094575135100,156897.3708666,19:54:54:575135,H,,,
1699646104588025900,156907.3843647,19:55:04:588026,H,,,
1699646114600512200,156917.3968076,19:55:14:600512,H,,,
1699646124613772600,156927.4094917,19:55:24:613773,H,,,
1699646134625977700,156937.4216259,19:55:34:625978,H,,,
1699646144637070300,156947.4335852,19:55:44:637070,H,,,
1699646154651469000,156957.4473382,19:55:54:651469,H,,,
1699646164665523400,156967.4614423,19:56:04:665524,H,,,
1699646174679519600,156977.4753514,19:56:14:679519,H,,,
1699646184692481600,156987.4888359,19:56:24:692482,H,,,
1699646192146617500,156994.9431651,19:56:32:146618,FAKE:1000,,,
1699646193157955300,156995.9541203,19:56:33:157955,FAKE:1000,,,
1699646194168440400,156996.9649859,19:56:34:168440,FAKE:1000,,,
1699646194706133800,156997.5020004,19:56:34:706134,H,,,
1699646195178436600,156997.9749841,19:56:35:178437,FAKE:1000,,,
1699646196190342500,156998.9862737,19:56:36:190342,FAKE:1000,,,
1699646197200927000,156999.9969836,19:56:37:200927,FAKE:1000,,,
1699646198213343600,157001.0092543,19:56:38:213343,FAKE:1000,,,
1699646199224276400,157002.02,19:56:39:224277,FAKE:1000,,,
1699646200234720900,157003.0309834,19:56:40:234721,FAKE:1000,,,
1699646201244491200,157004.0410449,19:56:41:244491,FAKE:1000,,,
1699646202254694900,157005.0510529,19:56:42:254695,FAKE:1000,,,
1699646203264670800,157006.0609853,19:56:43:264671,FAKE:1000,,,
1699646204275236700,157007.0709812,19:56:44:275237,FAKE:1000,,,
1699646204719668500,157007.5153745,19:56:44:719668,H,,,
1699646205291288700,157008.0871447,19:56:45:291289,FAKE:1000,,,
1699646206301367400,157009.0979848,19:56:46:301367,FAKE:1000,,,
1699646207311875700,157010.1082034,19:56:47:311876,FAKE:1000,,,
1699646208322723600,157011.1189843,19:56:48:322724,FAKE:1000,,,
1699646209333949700,157012.1299846,19:56:49:333950,FAKE:1000,,,
1699646210343491800,157013.1400486,19:56:50:343492,FAKE:1000,,,
1699646211353619200,157014.1500601,19:56:51:353619,FAKE:1000,,,
1699646212363405300,157015.1599856,19:56:52:363405,FAKE:1000,,,
1699646213373885800,157016.1699834,19:56:53:373886,FAKE:1000,,,
1699646214383585100,157017.1799825,19:56:54:383585,FAKE:1000,,,
1699646214733194500,157017.5289222,19:56:54:733195,H,,,
1699646215393883100,157018.1900706,19:56:55:393883,FAKE:1000,,,
1699646216404893100,157019.2011028,19:56:56:404893,FAKE:1000,,,
1699646217426801400,157020.2229852,19:56:57:426801,FAKE:1000,,,
1699646218437485000,157021.2339884,19:56:58:437485,FAKE:1000,,,
1699646219448037600,157022.2440493,19:56:59:448038,FAKE:1000,,,
1699646220458363700,157023.2541552,19:57:00:458364,FAKE:1000,,,
1699646221467494800,157024.2639849,19:57:01:467495,FAKE:1000,,,
1699646224746982100,157027.5429682,19:57:04:746982,H,,,
1699646234759973800,157037.556004,19:57:14:759974,H,,,
1699646244773144900,157047.5695416,19:57:24:773145,H,,,
1699646254793058000,157057.5895781,19:57:34:793058,H,,,
1699646262477966800,157065.2739752,19:57:42:477967,FAKE:1000,,,
1699646263488403400,157066.2849834,19:57:43:488404,FAKE:1000,,,
1699646264498403900,157067.2949842,19:57:44:498404,FAKE:1000,,,
1699646264815399600,157067.6111322,19:57:44:815400,H,,,
1699646265509555400,157068.3060667,19:57:45:509555,FAKE:1000,,,
1699646266520884400,157069.3170545,19:57:46:520885,FAKE:1000,,,
1699646267532624200,157070.3290537,19:57:47:532624,FAKE:1000,,,
1699646268543397100,157071.3390983,19:57:48:543397,FAKE:1000,,,
1699646269552670000,157072.3491199,19:57:49:552670,FAKE:1000,,,
1699646270562635100,157073.3589857,19:57:50:562635,FAKE:1000,,,
1699646271573028600,157074.3689825,19:57:51:573029,FAKE:1000,,,
1699646272584336900,157075.379989,19:57:52:584337,FAKE:1000,,,
1699646273594295200,157076.3902194,19:57:53:594295,FAKE:1000,,,
1699646274604603200,157077.4010664,19:57:54:604603,FAKE:1000,,,
1699646274827040200,157077.6233861,19:57:54:827040,H,,,
1699646275614575200,157078.4111123,19:57:55:614575,FAKE:1000,,,
1699646276625592300,157079.4220098,19:57:56:625592,FAKE:1000,,,
1699646277636360000,157080.4321847,19:57:57:636360,FAKE:1000,,,
1699646278647334800,157081.4430011,19:57:58:647335,FAKE:1000,,,
1699646279657324200,157082.4530015,19:57:59:657324,FAKE:1000,,,
1699646280666522100,157083.4630668,19:58:00:666522,FAKE:1000,,,
1699646281677378900,157084.4739871,19:58:01:677379,FAKE:1000,,,
1699646282687594000,157085.483983,19:58:02:687594,FAKE:1000,,,
1699646283697417400,157086.4939849,19:58:03:697417,FAKE:1000,,,
1699646284708538000,157087.5049876,19:58:04:708538,FAKE:1000,,,
1699646284839028900,157087.635629,19:58:04:839029,H,,,
1699646285719856500,157088.5161411,19:58:05:719857,FAKE:1000,,,
1699646286730458100,157089.5269885,19:58:06:730458,FAKE:1000,,,
1699646287747340000,157090.5430152,19:58:07:747340,FAKE:1000,,,
1699646288758009000,157091.5540385,19:58:08:758009,FAKE:1000,,,
1699646289768467400,157092.5650046,19:58:09:768467,FAKE:1000,,,
1699646290780029500,157093.5760499,19:58:10:780030,FAKE:1000,,,
1699646291790277800,157094.5859833,19:58:11:790278,FAKE:1000,,,
1699646292799410800,157095.5960074,19:58:12:799411,FAKE:1000,,,
1699646293812324700,157096.6080029,19:58:13:812325,FAKE:1000,,,
1699646294823392100,157097.6199855,19:58:14:823392,FAKE:1000,,,
1699646294852561500,157097.6489973,19:58:14:852561,H,,,
1699646295838376100,157098.6340519,19:58:15:838376,FAKE:1000,,,
1699646296848965800,157099.6451165,19:58:16:848966,FAKE:1000,,,
1699646297859999700,157100.656241,19:58:17:860000,FAKE:1000,,,
1699646298873462900,157101.6691369,19:58:18:873463,FAKE:1000,,,
1699646299882643600,157102.6790699,19:58:19:882644,FAKE:1000,,,
1699646300893356000,157103.6899805,19:58:20:893356,FAKE:1000,,,
1699646301903619200,157104.699984,19:58:21:903619,FAKE:1000,,,
1699646302913467000,157105.7099838,19:58:22:913467,FAKE:1000,,,
1699646303924301100,157106.719983,19:58:23:924301,FAKE:1000,,,
1699646304864786200,157107.6612138,19:58:24:864786,H,,,
1699646304934631400,157107.730343,19:58:24:934631,FAKE:1000,,,
1699646305944821300,157108.7409852,19:58:25:944821,FAKE:1000,,,
1699646306954444900,157109.750984,19:58:26:954445,FAKE:1000,,,
1699646307965597500,157110.7619797,19:58:27:965597,FAKE:1000,,,
1699646308976898900,157111.7729898,19:58:28:976899,FAKE:1000,,,
1699646309986559500,157112.7829838,19:58:29:986559,FAKE:1000,,,
1699646310996374700,157113.7930054,19:58:30:996375,FAKE:1000,,,
1699646312008403500,157114.8049866,19:58:32:008404,FAKE:1000,,,
1699646313020384200,157115.8160777,19:58:33:020384,FAKE:1000,,,
1699646314032310300,157116.8279975,19:58:34:032310,FAKE:1000,,,
1699646314877437000,157117.6739466,19:58:34:877437,H,,,
1699646315043979000,157117.8400181,19:58:35:043979,FAKE:1000,,,
1699646316055384600,157118.8510436,19:58:36:055385,FAKE:1000,,,
1699646317065698500,157119.8620068,19:58:37:065699,FAKE:1000,,,
1699646318083919400,157120.8799823,19:58:38:083919,FAKE:1000,,,
1699646319095392800,157121.8911279,19:58:39:095393,FAKE:1000,,,
1699646320105745200,157122.9019868,19:58:40:105745,FAKE:1000,,,
1699646321115601500,157123.9120611,19:58:41:115601,FAKE:1000,,,
1699646322125486500,157124.9219833,19:58:42:125487,FAKE:1000,,,
1699646324888457100,157127.6847798,19:58:44:888457,H,,,
1699646334900209100,157137.6960981,19:58:54:900209,H,,,
1699646344913269700,157147.7093726,19:59:04:913270,H,,,
1699646353135535700,157155.9319723,19:59:13:135536,FAKE:1000,,,
1699646354146625100,157156.942981,19:59:14:146625,FAKE:1000,,,
1699646354931528700,157157.7272638,19:59:14:931529,H,,,
1699646355162483800,157157.9590504,19:59:15:162484,FAKE:1000,,,
1699646356174183700,157158.9700762,19:59:16:174184,FAKE:1000,,,
1699646357186298600,157159.9820007,19:59:17:186299,FAKE:1000,,,
1699646358196510800,157160.9929818,19:59:18:196511,FAKE:1000,,,
1699646359206414700,157162.0029818,19:59:19:206415,FAKE:1000,,,
1699646360217277200,157163.0130802,19:59:20:217277,FAKE:1000,,,
1699646361227657000,157164.0240452,19:59:21:227657,FAKE:1000,,,
1699646362238846500,157165.0350015,19:59:22:238847,FAKE:1000,,,
1699646363251373000,157166.0479824,19:59:23:251373,FAKE:1000,,,
1699646364269379800,157167.065053,19:59:24:269380,FAKE:1000,,,
1699646364943738300,157167.7394454,19:59:24:943738,H,,,
1699646365280412600,157168.0760702,19:59:25:280413,FAKE:1000,,,
1699646366291985700,157169.0879815,19:59:26:291986,FAKE:1000,,,
1699646367302230100,157170.09798,19:59:27:302230,FAKE:1000,,,
1699646368311408900,157171.1079912,19:59:28:311409,FAKE:1000,,,
1699646369321460400,157172.1179985,19:59:29:321460,FAKE:1000,,,
1699646370334328800,157173.1299829,19:59:30:334329,FAKE:1000,,,
1699646371343508000,157174.1399802,19:59:31:343508,FAKE:1000,,,
1699646372353404700,157175.1499884,19:59:32:353405,FAKE:1000,,,
1699646373364071900,157176.15998,19:59:33:364072,FAKE:1000,,,
1699646374374380500,157177.1700526,19:59:34:374381,FAKE:1000,,,
1699646374956663000,157177.752581,19:59:34:956663,H,,,
1699646375385343800,157178.1811797,19:59:35:385344,FAKE:1000,,,
1699646376404672000,157179.2010788,19:59:36:404672,FAKE:1000,,,
1699646377415892700,157180.2120551,19:59:37:415893,FAKE:1000,,,
1699646378426733800,157181.2229889,19:59:38:426734,FAKE:1000,,,
1699646379437450200,157182.2339804,19:59:39:437450,FAKE:1000,,,
1699646380447454500,157183.2439798,19:59:40:447454,FAKE:1000,,,
1699646381457904100,157184.2539805,19:59:41:457904,FAKE:1000,,,
1699646382468437200,157185.2649816,19:59:42:468437,FAKE:1000,,,
1699646383479526500,157186.2759841,19:59:43:479526,FAKE:1000,,,
1699646384490074900,157187.2859828,19:59:44:490075,FAKE:1000,,,
1699646384971067300,157187.7668394,19:59:44:971067,H,,,
1699646385499396500,157188.29598,19:59:45:499397,FAKE:1000,,,
1699646386513554100,157189.309991,19:59:46:513554,FAKE:1000,,,
1699646387524595100,157190.3209826,19:59:47:524595,FAKE:1000,,,
1699646388536278100,157191.3319843,19:59:48:536278,FAKE:1000,,,
1699646389546446200,157192.3430673,19:59:49:546446,FAKE:1000,,,
1699646390558492200,157193.3550347,19:59:50:558492,FAKE:1000,,,
1699646391570374000,157194.3660481,19:59:51:570374,FAKE:1000,,,
1699646392581281600,157195.3769878,19:59:52:581281,FAKE:1000,,,
1699646393592153200,157196.3880461,19:59:53:592153,FAKE:1000,,,
1699646394602530700,157197.398985,19:59:54:602531,FAKE:1000,,,
1699646394986669200,157197.7826037,19:59:54:986669,H,,,
1699646395613448100,157198.4091435,19:59:55:613448,FAKE:1000,,,
1699646396622560700,157199.4190582,19:59:56:622561,FAKE:1000,,,
1699646397633627800,157200.4299795,19:59:57:633628,FAKE:1000,,,
1699646398645268900,157201.4409805,19:59:58:645269,FAKE:1000,,,
1699646399655710000,157202.4519837,19:59:59:655710,FAKE:1000,,,
1699646400671725700,157203.4679813,20:00:00:671726,FAKE:1000,,,
1699646401687297600,157204.4830043,20:00:01:687298,FAKE:1000,,,
1699646402698293400,157205.4940246,20:00:02:698293,FAKE:1000,,,
1699646403708186500,157206.5039802,20:00:03:708187,FAKE:1000,,,
1699646404718288500,157207.513982,20:00:04:718288,FAKE:1000,,,
1699646405004023400,157207.8006516,20:00:05:004023,H,,,
1699646405728057300,157208.5239888,20:00:05:728057,FAKE:1000,,,
1699646406740562100,157209.5369887,20:00:06:740562,FAKE:1000,,,
1699646407757950400,157210.5541608,20:00:07:757951,FAKE:1000,,,
1699646408768932500,157211.5651947,20:00:08:768933,FAKE:1000,,,
1699646409784428300,157212.5809947,20:00:09:784428,FAKE:1000,,,
1699646410797336400,157213.5930645,20:00:10:797336,FAKE:1000,,,
1699646411806878600,157214.6029819,20:00:11:806879,FAKE:1000,,,
1699646412817864300,157215.6140046,20:00:12:817864,FAKE:1000,,,
1699646413830835600,157216.6269859,20:00:13:830836,FAKE:1000,,,
1699646414840415800,157217.6369824,20:00:14:840416,FAKE:1000,,,
1699646415020631200,157217.8163583,20:00:15:020631,H,,,
1699646415856539000,157218.6529831,20:00:15:856539,FAKE:1000,,,
1699646416868254900,157219.6639769,20:00:16:868255,FAKE:1000,,,
1699646417879340700,157220.6750253,20:00:17:879341,FAKE:1000,,,
1699646418889585600,157221.6861299,20:00:18:889586,FAKE:1000,,,
1699646419901462200,157222.6980476,20:00:19:901462,FAKE:1000,,,
1699646420912603600,157223.7089813,20:00:20:912604,FAKE:1000,,,
1699646421922485800,157224.7189838,20:00:21:922486,FAKE:1000,,,
1699646422932836800,157225.7290485,20:00:22:932837,FAKE:1000,,,
1699646423943410200,157226.7400039,20:00:23:943410,FAKE:1000,,,
1699646424957359200,157227.7531148,20:00:24:957359,FAKE:1000,,,
1699646425034149900,157227.8298523,20:00:25:034150,H,,,
1699646425967744500,157228.7639801,20:00:25:967745,FAKE:1000,,,
1699646426978437700,157229.7741072,20:00:26:978438,FAKE:1000,,,
1699646427989490100,157230.7859813,20:00:27:989490,FAKE:1000,,,
1699646429006249200,157231.8021627,20:00:29:006249,FAKE:1000,,,
1699646430017295500,157232.8130338,20:00:30:017296,FAKE:1000,,,
1699646431026472800,157233.82299,20:00:31:026473,FAKE:1000,,,
1699646432036442100,157234.8329844,20:00:32:036442,FAKE:1000,,,
1699646433048239000,157235.8439867,20:00:33:048239,FAKE:1000,,,
1699646434058103600,157236.8541049,20:00:34:058104,FAKE:1000,,,
1699646435047392100,157237.8431185,20:00:35:047392,H,,,
1699646435073381500,157237.8699844,20:00:35:073381,FAKE:1000,,,
1699646436084554800,157238.881057,20:00:36:084555,FAKE:1000,,,
1699646437097420900,157239.893327,20:00:37:097421,FAKE:1000,,,
1699646438116359900,157240.9121807,20:00:38:116360,FAKE:1000,,,
1699646439126724400,157241.9230834,20:00:39:126724,FAKE:1000,,,
1699646440136796000,157242.9330084,20:00:40:136796,FAKE:1000,,,
1699646441147519700,157243.9439805,20:00:41:147520,FAKE:1000,,,
1699646442158106800,157244.9539835,20:00:42:158107,FAKE:1000,,,
1699646443167433000,157245.9639854,20:00:43:167433,FAKE:1000,,,
1699646444177570600,157246.9739811,20:00:44:177571,FAKE:1000,,,
1699646445059075000,157247.8549252,20:00:45:059075,H,,,
1699646445187329500,157247.9839801,20:00:45:187330,FAKE:1000,,,
1699646446198472000,157248.9950896,20:00:46:198472,FAKE:1000,,,
1699646447209636800,157250.0061608,20:00:47:209637,FAKE:1000,,,
1699646448220228600,157251.0160833,20:00:48:220229,FAKE:1000,,,
1699646449234744500,157252.0309749,20:00:49:234745,FAKE:1000,,,
1699646450245825200,157253.0420292,20:00:50:245825,FAKE:1000,,,
1699646451260556400,157254.0562309,20:00:51:260556,FAKE:1000,,,
1699646452269590500,157255.0659818,20:00:52:269591,FAKE:1000,,,
1699646453279899700,157256.0759811,20:00:53:279900,FAKE:1000,,,
1699646454289901300,157257.0859849,20:00:54:289901,FAKE:1000,,,
1699646455076009800,157257.8717762,20:00:55:076010,H,,,
1699646455301310900,157258.0970057,20:00:55:301311,FAKE:1000,,,
1699646456311530200,157259.1079761,20:00:56:311530,FAKE:1000,,,
1699646457323484200,157260.1193188,20:00:57:323484,FAKE:1000,,,
1699646458334380000,157261.1300543,20:00:58:334380,FAKE:1000,,,
1699646459345425800,157262.1410967,20:00:59:345426,FAKE:1000,,,
1699646460355419800,157263.1519798,20:01:00:355420,FAKE:1000,,,
1699646461365415600,157264.1619858,20:01:01:365416,FAKE:1000,,,
1699646462377244600,157265.1730091,20:01:02:377245,FAKE:1000,,,
1699646463390936100,157266.1869819,20:01:03:390936,FAKE:1000,,,
1699646464401326900,157267.1969989,20:01:04:401327,FAKE:1000,,,
1699646465093542900,157267.8897781,20:01:05:093543,H,,,
1699646465413342900,157268.2090164,20:01:05:413343,FAKE:1000,,,
1699646466427388100,157269.2230902,20:01:06:427388,FAKE:1000,,,
1699646467438460300,157270.2341949,20:01:07:438460,FAKE:1000,,,
1699646468453499400,157271.2500484,20:01:08:453499,FAKE:1000,,,
1699646469464945600,157272.261331,20:01:09:464946,FAKE:1000,,,
1699646470483373400,157273.2799821,20:01:10:483373,FAKE:1000,,,
1699646471493569900,157274.2900546,20:01:11:493570,FAKE:1000,,,
1699646472504203100,157275.2999841,20:01:12:504203,FAKE:1000,,,
1699646473513471900,157276.3099822,20:01:13:513472,FAKE:1000,,,
1699646474523491200,157277.3200453,20:01:14:523491,FAKE:1000,,,
1699646475107555400,157277.9033531,20:01:15:107555,H,,,
1699646475535376100,157278.3311653,20:01:15:535376,FAKE:1000,,,
1699646476548219700,157279.3440467,20:01:16:548220,FAKE:1000,,,
1699646477559054700,157280.3550757,20:01:17:559055,FAKE:1000,,,
1699646478570731400,157281.3670597,20:01:18:570731,FAKE:1000,,,
1699646479581913500,157282.3780735,20:01:19:581914,FAKE:1000,,,
1699646480592893400,157283.3889806,20:01:20:592893,FAKE:1000,,,
1699646481603344200,157284.3999852,20:01:21:603344,FAKE:1000,,,
1699646482613654200,157285.4099839,20:01:22:613654,FAKE:1000,,,
1699646483624386000,157286.4200511,20:01:23:624386,FAKE:1000,,,
1699646484634458000,157287.4301045,20:01:24:634458,FAKE:1000,,,
1699646485122587300,157287.919102,20:01:25:122587,H,,,
1699646485645375500,157288.4410483,20:01:25:645375,FAKE:1000,,,
1699646486655054900,157289.4510527,20:01:26:655055,FAKE:1000,,,
1699646487666376700,157290.46205,20:01:27:666377,FAKE:1000,,,
1699646488682121200,157291.4780537,20:01:28:682121,FAKE:1000,,,
1699646489691562200,157292.4880015,20:01:29:691562,FAKE:1000,,,
1699646490705385300,157293.5010705,20:01:30:705385,FAKE:1000,,,
1699646491714447400,157294.5110802,20:01:31:714447,FAKE:1000,,,
1699646492728342400,157295.5240801,20:01:32:728343,FAKE:1000,,,
1699646493740381000,157296.5369813,20:01:33:740381,FAKE:1000,,,
1699646494750921600,157297.5469911,20:01:34:750922,FAKE:1000,,,
1699646495137325700,157297.9330373,20:01:35:137326,H,,,
1699646495761459800,157298.5579986,20:01:35:761460,FAKE:1000,,,
1699646496773331400,157299.5689823,20:01:36:773331,FAKE:1000,,,
1699646497784445000,157300.5802856,20:01:37:784445,FAKE:1000,,,
1699646498796428000,157301.5930022,20:01:38:796428,FAKE:1000,,,
1699646499809603900,157302.6059814,20:01:39:809604,FAKE:1000,,,
1699646500821457800,157303.6173167,20:01:40:821458,FAKE:1000,,,
1699646501835502200,157304.6320488,20:01:41:835502,FAKE:1000,,,
1699646502845876700,157305.6419786,20:01:42:845877,FAKE:1000,,,
1699646503861346700,157306.6570054,20:01:43:861347,FAKE:1000,,,
1699646504874391800,157307.6700822,20:01:44:874392,FAKE:1000,,,
1699646505149842600,157307.9459213,20:01:45:149843,H,,,
1699646505886372600,157308.6820335,20:01:45:886373,FAKE:1000,,,
1699646506895773800,157309.6923346,20:01:46:895774,FAKE:1000,,,
1699646507906196500,157310.7019868,20:01:47:906197,FAKE:1000,,,
1699646508915433900,157311.7119918,20:01:48:915434,FAKE:1000,,,
1699646509926841400,157312.7230314,20:01:49:926841,FAKE:1000,,,
1699646510937352200,157313.733019,20:01:50:937352,FAKE:1000,,,
1699646511947342200,157314.7430082,20:01:51:947342,FAKE:1000,,,
1699646512962121700,157315.7579835,20:01:52:962122,FAKE:1000,,,
1699646513971354900,157316.767984,20:01:53:971355,FAKE:1000,,,
1699646514982583400,157317.778996,20:01:54:982583,FAKE:1000,,,
1699646515167228200,157317.9631767,20:01:55:167228,H,,,
1699646515992485800,157318.7891116,20:01:55:992486,FAKE:1000,,,
1699646517003525000,157319.800084,20:01:57:003525,FAKE:1000,,,
1699646518014876200,157320.81098,20:01:58:014876,FAKE:1000,,,
1699646519024584800,157321.8209822,20:01:59:024585,FAKE:1000,,,
1699646520036352000,157322.832152,20:02:00:036352,FAKE:1000,,,
1699646521046008400,157323.8419825,20:02:01:046008,FAKE:1000,,,
1699646522055400700,157324.8520226,20:02:02:055401,FAKE:1000,,,
1699646523066180200,157325.8620929,20:02:03:066180,FAKE:1000,,,
1699646524078915900,157326.8749819,20:02:04:078916,FAKE:1000,,,
1699646525089088300,157327.8849828,20:02:05:089088,FAKE:1000,,,
1699646525180217300,157327.9768283,20:02:05:180217,H,,,
1699646526099341200,157328.8950583,20:02:06:099341,FAKE:1000,,,
1699646527114200300,157329.9100572,20:02:07:114200,FAKE:1000,,,
1699646528128274000,157330.924154,20:02:08:128274,FAKE:1000,,,
1699646529138756200,157331.9351285,20:02:09:138756,FAKE:1000,,,
1699646530151299900,157332.9470211,20:02:10:151300,FAKE:1000,,,
1699646531160447800,157333.9569875,20:02:11:160448,FAKE:1000,,,
1699646532170502900,157334.9669845,20:02:12:170503,FAKE:1000,,,
1699646533181509500,157335.978052,20:02:13:181509,FAKE:1000,,,
1699646534191920100,157336.9879965,20:02:14:191920,FAKE:1000,,,
1699646535203414300,157338.0000094,20:02:15:203414,H,,,
1699646535204383600,157338.0001228,20:02:15:204383,FAKE:1000,,,
1699646536214640300,157339.0110844,20:02:16:214640,FAKE:1000,,,
1699646537224498900,157340.0210551,20:02:17:224499,FAKE:1000,,,
1699646538236116100,157341.0320992,20:02:18:236116,FAKE:1000,,,
1699646539250484500,157342.0469843,20:02:19:250484,FAKE:1000,,,
1699646540260719600,157343.057104,20:02:20:260720,FAKE:1000,,,
1699646541274397500,157344.0709816,20:02:21:274397,FAKE:1000,,,
1699646542286293500,157345.0819817,20:02:22:286294,FAKE:1000,,,
1699646543295477900,157346.0919811,20:02:23:295478,FAKE:1000,,,
1699646544306566000,157347.1029898,20:02:24:306566,FAKE:1000,,,
1699646545206503000,157348.0025848,20:02:25:206503,H,,,
1699646545317194300,157348.1133682,20:02:25:317194,FAKE:1000,,,
1699646546332308700,157349.1280589,20:02:26:332309,FAKE:1000,,,
1699646547342525500,157350.1389821,20:02:27:342525,FAKE:1000,,,
1699646548354397800,157351.1503776,20:02:28:354398,FAKE:1000,,,
1699646549364397300,157352.1610076,20:02:29:364397,FAKE:1000,,,
1699646550379545800,157353.1754102,20:02:30:379546,FAKE:1000,,,
1699646551394327300,157354.190007,20:02:31:394327,FAKE:1000,,,
1699646552404749200,157355.2010611,20:02:32:404749,FAKE:1000,,,
1699646553416155700,157356.2120943,20:02:33:416156,FAKE:1000,,,
1699646554429362300,157357.2259811,20:02:34:429362,FAKE:1000,,,
1699646555219605500,157358.0156902,20:02:35:219605,H,,,
1699646555439981700,157358.2361308,20:02:35:439982,FAKE:1000,,,
1699646556451383600,157359.2471241,20:02:36:451384,FAKE:1000,,,
1699646557462889600,157360.2591405,20:02:37:462889,FAKE:1000,,,
1699646558475377400,157361.2712221,20:02:38:475377,FAKE:1000,,,
1699646559485529400,157362.2820143,20:02:39:485529,FAKE:1000,,,
1699646560496493600,157363.292986,20:02:40:496494,FAKE:1000,,,
1699646561506622700,157364.3029887,20:02:41:506623,FAKE:1000,,,
1699646562518715500,157365.3149824,20:02:42:518715,FAKE:1000,,,
1699646563530375200,157366.3260488,20:02:43:530375,FAKE:1000,,,
1699646564540795200,157367.3370608,20:02:44:540795,FAKE:1000,,,
1699646565235499900,157368.0312455,20:02:45:235500,H,,,
1699646565553379700,157368.3491573,20:02:45:553380,FAKE:1000,,,
1699646566565306700,157369.36114,20:02:46:565307,FAKE:1000,,,
1699646567576698000,157370.3731009,20:02:47:576698,FAKE:1000,,,
1699646568588078100,157371.3840989,20:02:48:588078,FAKE:1000,,,
1699646569602199700,157372.3979914,20:02:49:602200,FAKE:1000,,,
1699646570612837000,157373.4089792,20:02:50:612837,FAKE:1000,,,
1699646571622452300,157374.4190208,20:02:51:622452,FAKE:1000,,,
1699646572633106500,157375.4293222,20:02:52:633106,FAKE:1000,,,
1699646573646378600,157376.4420518,20:02:53:646379,FAKE:1000,,,
1699646574655800900,157377.4520074,20:02:54:655801,FAKE:1000,,,
1699646575249703100,157378.0454997,20:02:55:249703,H,,,
1699646575670420400,157378.4661044,20:02:55:670420,FAKE:1000,,,
1699646576681269700,157379.4771132,20:02:56:681270,FAKE:1000,,,
1699646577692695000,157380.4890929,20:02:57:692695,FAKE:1000,,,
1699646578703415700,157381.499981,20:02:58:703416,FAKE:1000,,,
1699646579713480100,157382.5099805,20:02:59:713480,FAKE:1000,,,
1699646580723418000,157383.5199851,20:03:00:723418,FAKE:1000,,,
1699646581734499500,157384.53098,20:03:01:734500,FAKE:1000,,,
1699646582744650200,157385.5410798,20:03:02:744650,FAKE:1000,,,
1699646583425359100,157386.2217112,20:03:03:425359,VECTOR_0 STARTED,0,Fake P300,
1699646583757796800,157386.554243,20:03:03:757797,FAKE:1000,0,Fake P300,
1699646583953385600,157386.7496592,20:03:03:953385,VECTOR 0 STOPPED,,,
