U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE
1699281110082896400,17901.3731741,14:31:50:082896,H
1699281120084384000,17911.3739854,14:32:00:084384,H
1699281130087930100,17921.3775366,14:32:10:087930,H
1699281140091317500,17931.3817435,14:32:20:091317,H
1699281150095488600,17941.3857004,14:32:30:095489,H
1699281160099275100,17951.389556,14:32:40:099275,H
1699281170105090300,17961.395111,14:32:50:105090,H
1699281180110789000,17971.4004533,14:33:00:110789,H
1699281190113785300,17981.4037077,14:33:10:113785,H
1699281200117936100,17991.4080261,14:33:20:117936,H
1699281210122374200,18001.4120509,14:33:30:122374,H
1699281220128359500,18011.4180022,14:33:40:128359,H
1699281230134380400,18021.4247719,14:33:50:134380,H
1699281240140142900,18031.4297769,14:34:00:140143,H
1699281250145400500,18041.4351284,14:34:10:145401,H
1699281260149419700,18051.4397563,14:34:20:149420,H
1699281270155526200,18061.4451252,14:34:30:155526,H
1699281280160741300,18071.4511599,14:34:40:160741,H
1699281290167254400,18081.4568935,14:34:50:167254,H
1699281300172582900,18091.4622479,14:35:00:172583,H
1699281310177751200,18101.4680665,14:35:10:177751,H
1699281320184668000,18111.4744464,14:35:20:184668,H
1699281330188665900,18121.4790905,14:35:30:188666,H
1699281340195692300,18131.4854138,14:35:40:195692,H
1699281350197276600,18141.4869025,14:35:50:197277,H
1699281360203271400,18151.4927943,14:36:00:203271,H
1699281370209393900,18161.4991788,14:36:10:209394,H
1699281380215733100,18171.5061799,14:36:20:215733,H
1699281390222157800,18181.5116665,14:36:30:222158,H
1699281400226720400,18191.5165016,14:36:40:226721,H
1699281410233738400,18201.5233423,14:36:50:233738,H
1699281420239015800,18211.5285551,14:37:00:239016,H
1699281430241130100,18221.5307376,14:37:10:241130,H
1699281440247284500,18231.5372146,14:37:20:247284,H
1699281450252222900,18241.5419318,14:37:30:252223,H
1699281460259245200,18251.5489099,14:37:40:259245,H
1699281470265412000,18261.5550535,14:37:50:265412,H
1699281480271264500,18271.5609063,14:38:00:271265,H
