U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699544586365543500,55385.3079818,15:43:06:365543,H,,,
1699544596376050600,55395.3180905,15:43:16:376051,H,,,
1699544606387981500,55405.3299426,15:43:26:387982,H,,,
1699544616400505700,55415.3425486,15:43:36:400506,H,,,
1699544626411280000,55425.3536419,15:43:46:411280,H,,,
1699544636422113900,55435.3641218,15:43:56:422114,H,,,
1699544646432834700,55445.3748668,15:44:06:432835,H,,,
1699544656443825000,55455.3867699,15:44:16:443825,H,,,
1699544666457807100,55465.3998083,15:44:26:457807,H,,,
1699544676467262700,55475.4093616,15:44:36:467263,H,,,
1699544686477932800,55485.4199622,15:44:46:477933,H,,,
1699544696501053500,55495.4433224,15:44:56:501053,H,,,
1699544706509816800,55505.4526712,15:45:06:509817,H,,,
1699544716528902000,55515.4718539,15:45:16:528902,H,,,
1699544726539498000,55525.4816446,15:45:26:539498,H,,,
1699544736549923700,55535.4920143,15:45:36:549924,H,,,
1699544746560294900,55545.5022833,15:45:46:560295,H,,,
1699544756576795400,55555.5188199,15:45:56:576795,H,,,
1699544766586965100,55565.5291213,15:46:06:586965,H,,,
1699544776602675800,55575.5446712,15:46:16:602676,H,,,
1699544786612879500,55585.5551201,15:46:26:612880,H,,,
1699544796622900900,55595.5654565,15:46:36:622901,H,,,
1699544806633758200,55605.5757464,15:46:46:633758,H,,,
1699544816643812900,55615.5858536,15:46:56:643813,H,,,
1699544826653974400,55625.5963986,15:47:06:653975,H,,,
1699544836663746000,55635.6067195,15:47:16:663746,H,,,
1699544846675859000,55645.6183042,15:47:26:675859,H,,,
1699544856686822700,55655.6288447,15:47:36:686823,H,,,
1699544866698892600,55665.6408908,15:47:46:698893,H,,,
1699544876710221200,55675.6522694,15:47:56:710221,H,,,
1699544886722405400,55685.6644614,15:48:06:722405,H,,,
1699544896742251200,55695.6842521,15:48:16:742251,H,,,
1699544906753585100,55705.6962879,15:48:26:753585,H,,,
1699544916765576300,55715.7077809,15:48:36:765576,H,,,
1699544926777154300,55725.7192043,15:48:46:777154,H,,,
1699544936788655000,55735.730988,15:48:56:788655,H,,,
1699544946801648500,55745.7437834,15:49:06:801648,H,,,
1699544956816654100,55755.7594138,15:49:16:816654,H,,,
1699544966829686000,55765.7718489,15:49:26:829686,H,,,
1699544976841693000,55775.7839009,15:49:36:841693,H,,,
1699544986853704900,55785.7961921,15:49:46:853705,H,,,
1699544996864722500,55795.8068429,15:49:56:864722,H,,,
1699545006876812200,55805.8188178,15:50:06:876812,H,,,
1699545016886735000,55815.8296098,15:50:16:886735,H,,,
1699545026899629900,55825.8417674,15:50:26:899630,H,,,
1699545036910338000,55835.8526971,15:50:36:910338,H,,,
1699545046921422000,55845.863689,15:50:46:921422,H,,,
1699545056932827600,55855.8752975,15:50:56:932828,H,,,
1699545066943577400,55865.8855645,15:51:06:943577,H,,,
1699545076953717300,55875.8960281,15:51:16:953717,H,,,
1699545086964654600,55885.9071537,15:51:26:964655,H,,,
1699545096975758000,55895.9180321,15:51:36:975758,H,,,
1699545106988719100,55905.9312339,15:51:46:988719,H,,,
1699545116999272000,55915.9419442,15:51:56:999272,H,,,
1699545127009940800,55925.9523791,15:52:07:009941,H,,,
1699545137021685900,55935.9639889,15:52:17:021686,H,,,
