U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699382244836862600,27981.6954957,18:37:24:836863,H,,,
1699382254849055100,27991.7070778,18:37:34:849055,H,,,
1699382264864276000,28001.7230578,18:37:44:864276,H,,,
1699382274881353000,28011.739263,18:37:54:881353,H,,,
1699382284897322500,28021.7552327,18:38:04:897322,H,,,
1699382294912427300,28031.7711986,18:38:14:912427,H,,,
1699382304929391900,28041.7879316,18:38:24:929392,H,,,
1699382314946256200,28051.8044912,18:38:34:946256,H,,,
1699382324963154600,28061.8210642,18:38:44:963155,H,,,
1699382334979455000,28071.8374551,18:38:54:979455,H,,,
1699382344996384100,28081.8543328,18:39:04:996384,H,,,
1699382355017582300,28091.8755088,18:39:15:017582,H,,,
1699382365035729800,28101.8942127,18:39:25:035730,H,,,
1699382375054010500,28111.9121826,18:39:35:054011,H,,,
1699382385070504200,28121.9284288,18:39:45:070504,H,,,
1699382395084436800,28131.9424331,18:39:55:084437,H,,,
1699382405095025100,28141.9533982,18:40:05:095025,H,,,
1699382415107237000,28151.9658221,18:40:15:107237,H,,,
1699382425121563300,28161.9795293,18:40:25:121563,H,,,
1699382435138493500,28171.9972664,18:40:35:138494,H,,,
1699382445157027300,28182.0152715,18:40:45:157027,H,,,
1699382455175568600,28192.0336399,18:40:55:175569,H,,,
1699382465194018300,28202.0522289,18:41:05:194018,H,,,
1699382475211599500,28212.0702982,18:41:15:211600,H,,,
1699382485229620500,28222.0881396,18:41:25:229620,H,,,
1699382495251155200,28232.1090335,18:41:35:251155,H,,,
1699382505268477500,28242.1264359,18:41:45:268477,H,,,
1699382515286527900,28252.1452181,18:41:55:286528,H,,,
1699382525305583700,28262.1635263,18:42:05:305584,H,,,
1699382535321719300,28272.1799781,18:42:15:321719,H,,,
1699382545332734700,28282.1915004,18:42:25:332735,H,,,
1699382555352780500,28292.2111211,18:42:35:352781,H,,,
1699382565374034600,28302.2320544,18:42:45:374035,H,,,
1699382575385518600,28312.2434295,18:42:55:385519,H,,,
1699382585400708600,28322.2586077,18:43:05:400709,H,,,
1699382595411857100,28332.2699409,18:43:15:411857,H,,,
1699382605422909700,28342.2807648,18:43:25:422910,H,,,
1699382615435245200,28352.2931286,18:43:35:435245,H,,,
1699382625446328100,28362.3047138,18:43:45:446328,H,,,
1699382635458087700,28372.3159936,18:43:55:458088,H,,,
1699382645468799800,28382.3266763,18:44:05:468800,H,,,
1699382655479842300,28392.3376847,18:44:15:479842,H,,,
1699382665490187600,28402.348337,18:44:25:490187,H,,,
1699382675500291600,28412.3589751,18:44:35:500292,H,,,
1699382676577143500,28413.4352014,18:44:36:577144,FAKE:1200,,,
1699382677587586800,28414.4462244,18:44:37:587587,FAKE:1200,,,
1699382678598675200,28415.4572837,18:44:38:598675,FAKE:1200,,,
1699382679609517000,28416.4682241,18:44:39:609517,FAKE:1200,,,
1699382680621264500,28417.4792397,18:44:40:621264,FAKE:1200,,,
1699382681636212400,28418.4943618,18:44:41:636213,FAKE:1200,,,
1699382682646811900,28419.505236,18:44:42:646812,FAKE:1200,,,
1699382683658368800,28420.5162174,18:44:43:658369,FAKE:1200,,,
1699382684668659700,28421.5274211,18:44:44:668660,FAKE:1200,,,
1699382685511340600,28422.3697332,18:44:45:511341,H,,,
1699382685681601400,28422.5394719,18:44:45:681601,FAKE:1200,,,
1699382686692463300,28423.5504824,18:44:46:692463,FAKE:1200,,,
1699382687705067000,28424.563532,18:44:47:705067,FAKE:1200,,,
1699382688715471000,28425.5733664,18:44:48:715471,FAKE:1200,,,
1699382689725568500,28426.5834275,18:44:49:725569,FAKE:1200,,,
1699382690738364500,28427.5962265,18:44:50:738364,FAKE:1200,,,
1699382691750151600,28428.6082287,18:44:51:750152,FAKE:1200,,,
1699382692761622300,28429.620242,18:44:52:761622,FAKE:1200,,,
1699382693779552900,28430.6383265,18:44:53:779553,FAKE:1200,,,
1699382694792139500,28431.6502325,18:44:54:792140,FAKE:1200,,,
1699382695522630400,28432.3805172,18:44:55:522630,H,,,
1699382695803759800,28432.6623296,18:44:55:803760,FAKE:1200,,,
1699382696816638500,28433.6753101,18:44:56:816638,FAKE:1200,,,
1699382697827553700,28434.6862294,18:44:57:827554,FAKE:1200,,,
1699382698840430000,28435.6992342,18:44:58:840430,FAKE:1200,,,
1699382699856768900,28436.715319,18:44:59:856769,FAKE:1200,,,
1699382700871362200,28437.7292365,18:45:00:871362,FAKE:1200,,,
1699382701883547500,28438.7414681,18:45:01:883547,FAKE:1200,,,
1699382702893727800,28439.7522169,18:45:02:893728,FAKE:1200,,,
1699382703904482600,28440.7632826,18:45:03:904483,FAKE:1200,,,
1699382704915710200,28441.7742237,18:45:04:915710,FAKE:1200,,,
1699382705534727900,28442.39262,18:45:05:534728,H,,,
1699382705927303600,28442.785533,18:45:05:927304,FAKE:1200,,,
1699382715544659100,28452.4026345,18:45:15:544659,H,,,
1699382725554840200,28462.4128734,18:45:25:554840,H,,,
