U_TIME,LSL_TIME,HUMAN_TIME,MESSAGE,VECTOR_NUM,VECTOR_NAME,PERFORMER
1699454700888529900,100439.3433499,14:45:00:888530,H,,,
1699454710905270400,100449.3599608,14:45:10:905270,H,,,
1699454720918315100,100459.3729335,14:45:20:918315,H,,,
1699454730929994400,100469.3845834,14:45:30:929995,H,,,
1699454740939822200,100479.3951378,14:45:40:939822,H,,,
1699454750956046300,100489.4107293,14:45:50:956046,H,,,
1699454760970028600,100499.4246208,14:46:00:970029,H,,,
1699454770981475600,100509.4361157,14:46:10:981476,H,,,
1699454780993430800,100519.4480852,14:46:20:993431,H,,,
1699454791005924100,100529.4609178,14:46:31:005924,H,,,
1699454801018590100,100539.4732662,14:46:41:018590,H,,,
1699454811030772400,100549.4854162,14:46:51:030772,H,,,
1699454821040985800,100559.4958951,14:47:01:040986,H,,,
1699454831051744500,100569.50665,14:47:11:051744,H,,,
1699454841063676100,100579.518306,14:47:21:063676,H,,,
1699454851075034100,100589.5296315,14:47:31:075034,H,,,
1699454861085265700,100599.5405405,14:47:41:085266,H,,,
1699454871100910300,100609.5558864,14:47:51:100910,H,,,
1699454881117867600,100619.5725253,14:48:01:117867,H,,,
1699454891127783100,100629.5831624,14:48:11:127783,H,,,
1699454901139339400,100639.5940449,14:48:21:139339,H,,,
1699454911150242500,100649.6054088,14:48:31:150243,H,,,
1699454921161425400,100659.6162913,14:48:41:161425,H,,,
1699454931171921700,100669.6273513,14:48:51:171922,H,,,
1699454941182887600,100679.6382194,14:49:01:182888,H,,,
1699454951194674900,100689.6493773,14:49:11:194675,H,,,
1699454961205201200,100699.6601947,14:49:21:205201,H,,,
1699454971215619300,100709.6710603,14:49:31:215619,H,,,
1699454981229029900,100719.6837258,14:49:41:229030,H,,,
1699454991239189800,100729.694401,14:49:51:239190,H,,,
1699455001250964300,100739.7056992,14:50:01:250964,H,,,
1699455011262850100,100749.7175401,14:50:11:262850,H,,,
1699455021273868900,100759.7288308,14:50:21:273869,H,,,
1699455031284883700,100769.7394613,14:50:31:284884,H,,,
1699455041295631400,100779.7506187,14:50:41:295631,H,,,
1699455051307555200,100789.7621845,14:50:51:307555,H,,,
1699455061318364900,100799.7732787,14:51:01:318365,H,,,
1699455071329952000,100809.7845416,14:51:11:329952,H,,,
1699455081341257800,100819.7958778,14:51:21:341258,H,,,
1699455091352454100,100829.8076063,14:51:31:352454,H,,,
1699455101364190800,100839.818822,14:51:41:364191,H,,,
1699455111375850300,100849.8304248,14:51:51:375850,H,,,
1699455121387086000,100859.8416442,14:52:01:387086,H,,,
1699455131397579100,100869.8525504,14:52:11:397579,H,,,
1699455141410821600,100879.865422,14:52:21:410822,H,,,
1699455151421084500,100889.8760226,14:52:31:421084,H,,,
1699455161436978400,100899.8916327,14:52:41:436978,H,,,
1699455171447756700,100909.9025291,14:52:51:447757,H,,,
1699455181458457500,100919.9132847,14:53:01:458458,H,,,
1699455191468860900,100929.9240314,14:53:11:468861,H,,,
1699455201480554300,100939.9351886,14:53:21:480554,H,,,
1699455211495329700,100949.9500237,14:53:31:495330,H,,,
1699455221506669800,100959.9617254,14:53:41:506670,H,,,
1699455231518246100,100969.9729091,14:53:51:518246,H,,,
1699455241529288200,100979.9841027,14:54:01:529288,H,,,
1699455251545369900,100989.9999966,14:54:11:545370,H,,,
1699455261559705200,101000.0148746,14:54:21:559705,H,,,
1699455271571140500,101010.025813,14:54:31:571141,H,,,
1699455281581585600,101020.0369543,14:54:41:581586,H,,,
1699455291592643500,101030.0472364,14:54:51:592643,H,,,
1699455301602712400,101040.0578934,14:55:01:602712,H,,,
1699455311615812100,101050.0704421,14:55:11:615812,H,,,
1699455321626402200,101060.0814791,14:55:21:626402,H,,,
1699455331637395800,101070.0928155,14:55:31:637396,H,,,
1699455341648669600,101080.1036528,14:55:41:648670,H,,,
1699455351660205100,101090.1148386,14:55:51:660205,H,,,
1699455361672028000,101100.1266315,14:56:01:672028,H,,,
1699455371683641100,101110.1388606,14:56:11:683641,H,,,
1699455381696354100,101120.1509428,14:56:21:696354,H,,,
1699455391707174300,101130.1617983,14:56:31:707174,H,,,
1699455401717196600,101140.1724777,14:56:41:717196,H,,,
